,store_of_value,medium_of_exchange,smart_contracts,defi,governance,scalability,privacy,interoperability,data_storage,oracle
AAVE,0.09729741513729095,0.1068306490778923,0.08581876754760742,0.22770704329013824,0.11512959748506546,0.08030924946069717,0.05833938717842102,0.09269310534000397,0.0593222975730896,0.07655251771211624
ADA,0.08920267224311829,0.0653998926281929,0.10042955726385117,0.17805646359920502,0.15207833051681519,0.10673840343952179,0.10339817404747009,0.0675664097070694,0.05260266363620758,0.08452732115983963
ALGO,0.01196166593581438,0.024236734956502914,0.1205170601606369,0.1944199949502945,0.23324649035930634,0.15314072370529175,0.11434722691774368,0.07241073995828629,0.04707159847021103,0.0286477729678154
API3,0.06206494942307472,0.06251469254493713,0.10979234427213669,0.12239853292703629,0.11799058318138123,0.09718300402164459,0.09574468433856964,0.09490860253572464,0.08319662511348724,0.15420597791671753
APT,0.06869328022003174,0.08036959171295166,0.1149083822965622,0.11055102944374084,0.10925832390785217,0.1145876795053482,0.10558845102787018,0.10542983561754227,0.0984019786119461,0.09221146255731583
AR,0.07850079983472824,0.07398303598165512,0.10145078599452972,0.10714927315711975,0.11183372884988785,0.11405570805072784,0.1118127703666687,0.09645134955644608,0.1098998561501503,0.09486263990402222
ARB,0.04576755687594414,0.06445948779582977,0.10912071913480759,0.11087238043546677,0.09718348830938339,0.12671583890914917,0.1189376711845398,0.13450388610363007,0.0736207440495491,0.11881827563047409
ATOM,0.050927963107824326,0.08832202106714249,0.10378146171569824,0.12403662502765656,0.13934041559696198,0.0984044075012207,0.07879772037267685,0.1603756695985794,0.05570258945226669,0.10031107813119888
AVAX,0.07893042266368866,0.06986043602228165,0.1029197946190834,0.11893521994352341,0.11761657148599625,0.11974816769361496,0.11314485222101212,0.10440192371606827,0.09074559807777405,0.08369693905115128
AXS,0.11709275096654892,0.10305097699165344,0.09214580059051514,0.11514320969581604,0.10876309871673584,0.08833402395248413,0.08759593963623047,0.09255850315093994,0.08914947509765625,0.10616618394851685
BAND,0.05030115693807602,0.0557953417301178,0.13113269209861755,0.0935666635632515,0.10191230475902557,0.11133230477571487,0.11961840093135834,0.12360547482967377,0.11642667651176453,0.09630902856588364
BTC,0.0834450051188469,0.10526493191719055,0.1082993894815445,0.10590258240699768,0.08955937623977661,0.1037546694278717,0.14409489929676056,0.08795323967933655,0.08829385787248611,0.08343205600976944
COMP,0.12294508516788483,0.12380992621183395,0.0959181860089302,0.1779046207666397,0.10785126686096191,0.07303155958652496,0.08543350547552109,0.0794699415564537,0.06907966732978821,0.06455613672733307
CRV,0.1628440022468567,0.08155109733343124,0.0819774717092514,0.1926468163728714,0.0625036209821701,0.10400908440351486,0.07994872331619263,0.08440153300762177,0.04053253307938576,0.10958506911993027
DOT,0.05674457550048828,0.08466143161058426,0.0599336139857769,0.10473787039518356,0.14759871363639832,0.14091399312019348,0.09754782915115356,0.14689765870571136,0.10186123102903366,0.0591031089425087
EGLD,0.056707873940467834,0.06935890763998032,0.10483758896589279,0.11828720569610596,0.10487201064825058,0.14413073658943176,0.1201321929693222,0.11056399345397949,0.09029500186443329,0.0808144211769104
ETH,0.08964824676513672,0.10122301429510117,0.13105523586273193,0.11666040122509003,0.11051073670387268,0.08959013968706131,0.11253026872873306,0.07741522789001465,0.0945335254073143,0.07683316618204117
FIL,0.0754881501197815,0.08602091670036316,0.10567257553339005,0.11185790598392487,0.09194322675466537,0.10159701108932495,0.12171343713998795,0.09078404307365417,0.12012849748134613,0.09479418396949768
GRT,0.03685961663722992,0.023278869688510895,0.1847085952758789,0.0983908474445343,0.06909257918596268,0.07390046864748001,0.21408872306346893,0.11436762660741806,0.0785592719912529,0.1067533940076828
