,store_of_value,medium_of_exchange,smart_contracts,defi,governance,scalability,privacy,interoperability,data_storage,oracle
AAVE,0.022546419098143238,0.07559681697612733,0.3381962864721486,0.36074270557029176,0.08488063660477452,0.04244031830238729,0.0,0.0013262599469496023,0.014588859416445624,0.05968169761273211
ADA,0.02130394857667586,0.06795224977043153,0.26685032139577597,0.36969696969696997,0.18769513314967856,0.05491276400367309,0.001836547291092746,0.006611570247933887,0.0,0.02314049586776859
ALGO,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.0
API3,0.013796384395813516,0.026641294005708856,0.14391056137012376,0.13843958135109416,0.20528068506184577,0.07469077069457658,0.007136060894386301,0.10418648905803998,0.007611798287345386,0.2783063748810657
APT,0.042628774422735334,0.10242747187685018,0.2371225577264654,0.028419182948490225,0.09058614564831259,0.26879810538780347,0.022202486678507997,0.04588513913558318,0.13528715216104206,0.026642984014209586
AR,0.06303955029110615,0.08030515960650475,0.08504316402328857,0.034531218630797014,0.06846014856454526,0.2179883557518571,0.028106805862276645,0.06384260188717124,0.30849227062838785,0.05019072475406541
ARB,0.010462555066079295,0.05892070484581498,0.30093612334801767,0.06552863436123346,0.031938325991189426,0.2813876651982378,0.011013215859030838,0.09361233480176208,0.10159691629955946,0.04460352422907489
ATOM,0.039166666666666676,0.08916666666666666,0.19583333333333333,0.0725,0.12083333333333332,0.13583333333333333,0.0,0.2516666666666666,0.0033333333333333327,0.09166666666666667
AVAX,0.08200675349734685,0.10902074288470817,0.120598166907863,0.05016883743367101,0.1630487216594308,0.2831644958996623,0.008683068017366137,0.11287988422575976,0.035697057404727464,0.034732272069464554
AXS,0.10273972602739727,0.1849315068493151,0.1780821917808219,0.226027397260274,0.07534246575342468,0.06849315068493152,0.013698630136986304,0.04794520547945206,0.09589041095890412,0.006849315068493152
BAND,0.0,0.0,0.060606060606060615,0.0,0.12121212121212123,0.030303030303030307,0.0,0.18181818181818182,0.060606060606060615,0.5454545454545455
BTC,0.08674698795180726,0.2746987951807228,0.06265060240963857,0.03855421686746988,0.06506024096385542,0.28433734939759037,0.07228915662650603,0.0072289156626506035,0.048192771084337345,0.0602409638554217
COMP,0.054313099041533586,0.07987220447284346,0.30830670926517584,0.3003194888178914,0.0830670926517572,0.06070287539936105,0.0,0.003194888178913739,0.04792332268370609,0.06230031948881791
CRV,0.045801526717557245,0.15877862595419842,0.2977099236641221,0.27786259541984737,0.00916030534351145,0.10992366412213739,0.0,0.0183206106870229,0.021374045801526718,0.061068702290076333
DOT,0.10526315789473685,0.15789473684210525,0.052631578947368425,0.0,0.0,0.2631578947368421,0.0,0.3684210526315789,0.052631578947368425,0.0
EGLD,0.03657954726183534,0.100196151195462,0.23538143455441873,0.01590415098340667,0.04983300641467421,0.3572072310873136,0.017494566081747334,0.10735301913799505,0.054074113343582655,0.025976779939564223
ETH,0.05478414541782377,0.14592274678111603,0.2638222671042666,0.0944206008583691,0.05882352941176471,0.17672304973491543,0.021711688967432467,0.036101994445847,0.09315829336026259,0.05453168391820248
FIL,0.043478260869565175,0.0730727073438071,0.19784435513335766,0.09718670076726342,0.035805626598465465,0.1534526854219949,0.02959444647424186,0.03142126415783704,0.2866276945560833,0.051516258677383985
GRT,0.0,0.0,0.8203483043079743,0.013748854262144825,0.10174152153987169,0.009165902841429882,0.0,0.0,0.004582951420714941,0.050412465627864354
HBAR,0.05166051660516606,0.08302583025830261,0.23616236162361628,0.15313653136531363,0.06826568265682657,0.15129151291512913,0.09594095940959409,0.022140221402214028,0.057195571955719574,0.08118081180811809
ICP,0.005865532663685021,0.05315638976464544,0.29584280372461313,0.03519319598211011,0.09890754454138868,0.27091428990395205,0.03665957914803138,0.07625192462790528,0.08541681941491311,0.04179192022875575
LDO,0.06543385490753913,0.09672830725462306,0.2503556187766714,0.20910384068278803,0.15078236130867712,0.12375533428165007,0.0,0.019914651493598865,0.01849217638691323,0.06543385490753911
LINK,0.0014723926380368097,0.006871165644171779,0.2787730061349694,0.051042944785276045,0.05521472392638037,0.06429447852760735,0.06282208588957056,0.07067484662576685,0.012760736196319018,0.3960736196319018
MANA,0.07851534618129909,0.18415417558886507,0.19557458957887222,0.06423982869379016,0.04282655246252678,0.16559600285510345,0.011420413990007138,0.053533190578158474,0.1827266238401142,0.021413276231263385
MKR,0.09240407204385272,0.10728269381362565,0.2529365700861394,0.2537196554424431,0.14878621769772904,0.03915426781519186,0.0,0.010180109631949881,0.003132341425215348,0.09240407204385277
NEAR,0.0,0.0,0.5741543798785776,0.04336513443191677,0.1162185602775369,0.015611448395490031,0.15437987857762367,0.0,0.01387684301821336,0.08239375542064178
OCEAN,0.036001019497897246,0.06435580476615269,0.20198802089970688,0.12345482349942649,0.12912578055307763,0.07295781827449985,0.09462214859181853,0.07072766662418756,0.16407544284439918,0.04269147444883395
RPL,0.08,0.12,0.27999999999999997,0.32,0.04,0.16,0.0,0.0,0.0,0.0
SAND,0.08136004857316328,0.16575591985428062,0.2316332726168792,0.09896782027929571,0.11384335154826959,0.09259259259259259,0.010321797207043112,0.08318154219793565,0.10655737704918035,0.015786278081360055
SC,0.07522123893805309,0.10766961651917402,0.22271386430678464,0.07964601769911503,0.05309734513274336,0.13716814159292035,0.016224188790560472,0.03687315634218289,0.24631268436578177,0.025073746312684372
SOL,0.02601021830004645,0.09753831862517419,0.19693450998606601,0.03344170924291687,0.09196470041802138,0.30283325592196925,0.02043660009289364,0.021365536460752444,0.11936832326985604,0.09010682768230371
