,factor_1,factor_2
AAVE,-0.5767108292516662,-0.298132639922432
ADA,-0.636861107455123,1.0256833600124506
ALGO,-0.6384396174121467,0.29232668192890104
API3,-0.6384365097524127,-0.2805265003458782
APT,-0.6346355476701233,-0.2559788071662242
ARB,-0.6040402935635025,0.3236530281409712
ATOM,-0.6351909844373468,-0.2764260154505152
AVAX,-0.6243245583698045,-0.2748091572339374
AXS,-0.6359175507328856,-0.28553060972386857
BAND,-0.6386678398866693,-0.28614719324170873
BTC,28.504519199831922,-0.17736083459278046
COMP,-0.6106728340718905,-0.29872440105037473
CRV,-0.6390666465077102,0.015601341604442749
DOT,-0.6361435744467098,-0.24305455308436508
EGLD,-0.6192785559122822,-0.29792804674310497
ENJ,-0.6390497700475427,-0.1548303738656593
ENS,-0.6298345125474883,-0.29162393496473105
ETH,0.7491395776707522,-0.29117159389057684
FIL,-0.6366502795099402,-0.22477888506930413
FTM,-0.6378477664998887,0.4524075763630158
GALA,-0.5970000263769241,14.237077371834781
GRT,-0.6375280855055109,0.5128326989128894
HBAR,-0.6365730962228635,2.008686897914811
ICP,-0.6347984234909626,-0.27833493253786457
IMX,-0.6385396870002649,-0.24481377092804724
LDO,-0.6382762298640244,-0.1967767223609688
LINK,-0.6324154975416075,-0.258691669990347
LIT,-0.6389503341805414,-0.2700475495978382
LPT,-0.6333264912249303,-0.2940411368328644
MANA,-0.6386917588609794,-0.08233893746045388
MKR,0.2890388372777506,-0.2959549266003305
NEAR,-0.6370330201119987,-0.1759065118146768
OCEAN,-0.6389755890118295,-0.16299325867685657
OP,-0.6379981940181448,-0.1064362276278446
POL,-0.16089841038135405,0.08796792178509001
RENDER,-0.2140763125641155,-0.055590697873566616
RPL,-0.6217173694581646,-0.2848663280292539
SAND,-0.6382235963302306,0.13792887993265499
SC,-0.6162016129957754,7.283034455062274
SNX,-0.6381306912801549,-0.2705490066689546
SOL,-0.5766262073214737,-0.2593113464191734
STORJ,-0.6389994345939314,-0.17756539501715887
SUI,-0.5824889662373208,0.14760360512483195
SUSHI,-0.6387840282137894,-0.22407333895088022
TRB,-0.6032701856937501,-0.2978080317876304
UNI,-0.6352263773844704,-0.2710817662274105
XMR,-0.5724865715765625,-0.299193418757687
YFI,2.966975176002185,-0.28851111145470687
ZEC,-0.6223086632348616,-0.29864273911701267
